"Name_of_Satellite_Alternate_Names"	Country/Org_of_UN_Registry	Country_of_Operator_Owner	Operator/Owner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Type_of_Orbit	Longitude_of_GEO_degrees	Perigee_km	Apogee_km	Eccentricity	Inclination_degrees	Period_minutes	Launch_Mass_kg	Dry_Mass_kg	Power_watts	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	COSPAR_Number	NORAD_Number	Comments		Source_Used_for_Orbital_Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																											
"Advanced_Orion_5_NRO_L-32_USA_223"	USA	USA	National_Reconnaissance_Office_NRO	Military	Earth_Observation	Electronic_Intelligence	GEO		100.9	"35500"	"35500"	0.00E+00	0		"5000"			2010/11/21		National_Reconnaissance_Laboratory_?	USA	Cape_Canaveral	Delta_4_Heavy	2010-063A	37232	ELINT.		SC_-_ASCR	http://forum.nasaspaceflight.com/index.php?topic=11127.45	http://www.space.com/missionlaunches/sfn-090119-delta4-spysat-launch.html	http://www.sworld.com.au/steven/space/usmil-man.txt	http://www.nasaspaceflight.com/2010/11/live-delta-iv-heavy-launch-with-nrol-3/																																																																																																																																																																																																																													
"Advanced_Orion_6_NRO_L-15_USA_237"	USA	USA	National_Reconnaissance_Office_NRO	Military	Earth_Observation	Electronic_Intelligence	GEO		60	"35771"	"35805"	4.03E-04	0	23.94	"5000"			2012/6/29		National_Reconnaissance_Laboratory?	USA	Cape_Canaveral	Delta_4_Heavy	2012-034A	38528	ELINT.		CalSky	http://www.nasaspaceflight.com/2012/06/delta-iv-heavy-launch-nrol-15-cape-canaveral/	http://www.nasaspaceflight.com/2012/06/delta-iv-heavy-launch-nrol-15-cape-canaveral/	http://www.calsky.com/observer//tle.cgi?satid=12034A&tdt=2456146.41756944																																																																																																																																																																																																																														
"AEHF-2_Advanced_Extremely_High_Frequency_satellite-2_USA_235"	USA	USA	US_Air_Force	Military	Communications		GEO		-120	"35772"	"35801"	3.44E-04	2.34	1436.1	"6169"			2012/5/3	14	Lockheed_Martin_Space_Systems	USA	Cape_Canaveral	Atlas_5	2012-019A	38254	Second_in_constellation.		ZARYA		http://www.nasaspaceflight.com/2013/09/atlas-v-loft-aehf-3-satellite/																																																																																																																																																																																																																															
"AEHF-3_Advanced_Extremely_High_Frequency_satellite-3_USA_246"	NR	USA	US_Air_Force	Military	Communications		GEO			"35700"	"35803"	1.22E-03	4.2	1436.1	"6169"			2013/9/18	14	Lockheed_Martin_Space_Systems	USA	Cape_Canaveral	Atlas_5	2013-050A	39256	Third_in_constellation.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013	http://www.nasaspaceflight.com/2013/09/atlas-v-loft-aehf-3-satellite/																																																																																																																																																																																																																															
Aeneas	USA	USA	Department_of_Homeland_Security	Government	Technology_Development		LEO	Equatorial	0	480	790	2.21E-02	0.02	97.4	3			2012/9/13		University_of_Southern_California	USA	Vandenberg_AFB	Atlas_5	2012-048C	38760	Demonsration_program_to_track_cargo_containers_worldwide.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end	http://www.spaceflight101.com/nrol-36-launch.updates.html	http://www.isi.edu/projects/serc/aeneas																																																																																																																																																																																																																														
Aerocube_4.5A	USA	USA	Aerospace_Corporation	Commercial	Technology_Development		LEO	Non-Polar_Inclined	0	495	791	2.11E-02	64.6	97.5	5			2012/9/13		Aerospace_Corporation	USA	Vandenberg_AFB	Atlas_5	2012-048K	38767			ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end	https://directory.eoportal.org/web/eoportal/satellite-missions/a/aerocube-4																																																																																																																																																																																																																															
Aerocube_4.5B	USA	USA	Aerospace_Corporation	Commercial	Technology_Development		LEO	Non-Polar_Inclined	0	499	792	2.09E-02	64.6	97.6	5			2012/9/13		Aerospace_Corporation	USA	Vandenberg_AFB	Atlas_5	2012-048L	38768			ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end	https://directory.eoportal.org/web/eoportal/satellite-missions/a/aerocube-4																																																																																																																																																																																																																															
Aerocube_5A	NR	USA	Aerospace_Corporation	Commercial	Technology_Development		LEO	Polar	0	443	886	3.15E-02	120.3	98	5			2013/12/6	2	Aerospace_Corporation	USA	Vandenberg_AFB	Atlas_5	2013-072D	39465	Cubesat_to_demonstrate_new_technologies_for_pointing_and_tracking_between_two_identical_CubeSats_and_to_demonstrate_a_deorbit_device.		ZARYA	http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html	https://www.aerospace.org/2013/08/14/sometimes-smaller-is-better/	http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html																																																																																																																																																																																																																														
Aerocube_5B	NR	USA	Aerospace_Corporation	Commercial	Technology_Development		LEO	Polar	0	443	886	3.15E-02	120.3	98	5			2013/12/6	2	Aerospace_Corporation	USA	Vandenberg_AFB	Atlas_5	2013-072E	39466	Cubesat_to_demonstrate_new_technologies_for_pointing_and_tracking_between_two_identical_CubeSats_and_to_demonstrate_a_deorbit_device.		ZARYA	http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html	https://www.aerospace.org/2013/08/14/sometimes-smaller-is-better/	http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html																																																																																																																																																																																																																														
Aerocube_5C	NR_12/15	USA	Aerospace_Corporation	Commercial	Technology_Development		LEO	Non-Polar_Inclined	0	500	802	2.15E-02	64.78	97.74	2			2015/10/8		Aerospace_Corporation	USA	Vandenberg_AFB	Atlas_5	2015-058B	40965	"Demonstrate_tracking_technologies_optical_communications_and_laser_communication."		JR/12_15	http://spaceflightnow.com/2015/10/08/recap-story-second-atlas-5-rocket-launched-in-span-of-six-days/	http://planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																															
Aerocube_6A	NR	USA	Aerospace_Corporation	Commercial	Technology_Development		LEO	Sun-Synchronous	0	614	700	6.12E-03	97.98	97.88	5			2014/6/19	3	Aerospace_Corporation	USA	Dombarovsky_Air_Base	Dnepr	2014-033AM	40045	Technology_development_for_cubesat_constellation.		ZARYA	http://www.aerospace.org/2014/06/26/aerocube-6-launches-aboard-russian-rocket/	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014																																																																																																																																																																																																																															
Aerocube_6B	NR	USA	Aerospace_Corporation	Commercial	Technology_Development		LEO	Sun-Synchronous	0	614	700	6.12E-03	97.98	97.88	5			2014/6/19	3	Aerospace_Corporation	USA	Dombarovsky_Air_Base	Dnepr	2014-033AN	40046	Technology_development_for_cubesat_constellation.		ZARYA	http://www.aerospace.org/2014/06/26/aerocube-6-launches-aboard-russian-rocket/	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014																																																																																																																																																																																																																															
Aerocube_7A	NR_12/15	USA	Aerospace_Corporation	Commercial	Technology_Development		LEO	Non-Polar_Inclined	0	500	802	2.15E-02	64.6	97.4	2			2015/10/8		Aerospace_Corporation	USA	Vandenberg_AFB	Atlas_5	2015-058C	40966			JM/12_15	http://spaceflightnow.com/2015/10/08/recap-story-second-atlas-5-rocket-launched-in-span-of-six-days/	http://planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																															
Aerocube_8A	NR	USA	Aerospace_Corporation	Commercial	Technology_Development		LEO	Non-Polar_Inclined	0	356	700	2.49E-02	55	95.19	5			2015/5/20		Aerospace_Corporation	USA	Cape_Canaveral	Atlas_5	2015-025J	40659			JM/8_15	http://www.spaceflight101.com/afspc-05-secondary-payloads.html																																																																																																																																																																																																																																
Aerocube_8B	NR	USA	Aerospace_Corporation	Commercial	Technology_Development		LEO	Non-Polar_Inclined	0	356	700	2.49E-02	55	95.19	5			2015/5/20		Aerospace_Corporation	USA	Cape_Canaveral	Atlas_5	2015-025K	40660			JM/8_15	http://www.spaceflight101.com/afspc-05-secondary-payloads.html																																																																																																																																																																																																																																
"Afghansat-1_Eutelsat_28B_Eutelsat_48B_Eutelsat_W2M_Eutelsat_48D"	France	Multinational	European_Telecommunications_Satellite_Consortium_EUTELSAT	Commercial	Communications		GEO		48.00	"35764"	"35808"	5.22E-04	0.12	1436.08	"3460"	"1555"	"7000"	2008/12/20	15	EADS_Astrium	France	Guiana_Space_Center	Ariane_5	2008-065B	33460	30_Ku-band_transponders.		JM/12_08	http://www.cdi.org/friendlyversion/printversion.cfm?documentID=4478	http://www.tbs-satellite.com/tse/online/sat_eutelsat_w2m.html	http://en.wikipedia.org/wiki/Eutelsat_W2M																																																																																																																																																																																																																														
Afristar_	USA	USA	1Worldspace	Commercial	Communications		GEO		20.97	"35770"	"35802"	3.80E-04	0.03	1436.09	"2704"	"1530"	"5500"	1998/10/28	15	Matra_Marconi_Space-France	France	Guiana_Space_Center	Ariane_44L	1998-063A	25515	"First_WorldSpace_satellite;_digital_audio_and_multi-media_communications__to_Africa_Middle_East_Asia_Latin_America_and_Caribbean."		JM/12_08	www.floridatoday.com/space/explore/stories/1998b/102898ac.htm	http://www.worldspace.com/coveragemaps/afristar.html	http://interglobal.org/frontier/10-30-98.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																													
