"Name_of_Satellite_Alternate_Names"	Country/Org_of_UN_Registry	Country_of_Operator_Owner	Operator/Owner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Type_of_Orbit	Longitude_of_GEO_degrees	Perigee_km	Apogee_km	Eccentricity	Inclination_degrees	Period_minutes	Launch_Mass_kg	Dry_Mass_kg	Power_watts	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	COSPAR_Number	NORAD_Number	Comments		Source_Used_for_Orbital_Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																											
Dove_2b-7_0_Flock_2B-7_0C66	NR_12/15	USA	"Planet_Labs_Inc."	Commercial	Earth_Observation	Optical_Imaging	LEO	Non-Polar_Inclined	0	396	408	8.86E-04	51.64	92.6	4			2015/10/6		"Planet_Labs_Inc."	USA	International_Space_Station	Nanorack_Deployer	1998-067HH	40956				https://www.planet.com/pulse/flock2bdeploy/	http://www.planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																															
Dove_2b-8_0_Flock_2B-8_0C55	NR_12/15	USA	"Planet_Labs_Inc."	Commercial	Earth_Observation	Optical_Imaging	LEO	Non-Polar_Inclined	0	397	408	8.12E-04	51.64	92.61	4			2015/10/6		"Planet_Labs_Inc."	USA	International_Space_Station	Nanorack_Deployer	1998-067HJ	40957				https://www.planet.com/pulse/flock2bdeploy/	http://www.planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																															
Dove_2b-9_0_Flock_2B-9_0C68	NR_12/15	USA	"Planet_Labs_Inc."	Commercial	Earth_Observation	Optical_Imaging	LEO	Non-Polar_Inclined	0	396	408	8.86E-04	51.64	92.6	4			2015/10/7		"Planet_Labs_Inc."	USA	International_Space_Station	Nanorack_Deployer	1998-067HK	40962				https://www.planet.com/pulse/flock2bdeploy/	http://www.planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																															
Dove-3	USA	USA	"Planet_Labs_Inc."	Commercial	Technology_Development	Optical_Imaging	LEO	Sun-Synchronous	0	594	815	1.56E-02	97.7	98.8	4			2013/11/21		"Planet_Labs_Inc."	USA	Dombarovsky_Air_Base	Dnepr	2013-066P	39429			ZARYA	http://geospatial.blogs.com/geospatial/2013/11/planet-labs-launches-two-more-earth-observation-satellites.html	http://spacenews.com/planet-labs-earns-itus-praise-for-orbital-stewardship/	https://www.planet.com/																																																																																																																																																																																																																														
"DRTS_Data_Relay_Test_Satellite_Kodama"	Japan	Japan	National_Space_Development_Agency	Government	Technology_Development		GEO		90.77	"35775"	"35799"	2.85E-04	0.02	1436.12	"2650"	"1500"	"2100"	2002/9/10	7	Mitsubishi_Electric	Japan	Tanegashima_Space_Center	H-2A	2002-042B	27516	Develop_more_advanced_data_relay__by_improving_the_technology_for_the_Communications_and_Broadcasting_Engineering_Satellite_COMETS.	Serve_as_the_space_communications_infrastructure_for_two-way_data_relay_between_ground_stations_and_experimental_spacecraft_in_low-_to_mid-altitude_orbit	JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/spx587.html	http://www.nasda.go.jp/projects/sat/drts/tback_e.html	http://spaceflightnow.com/H-2A/f3/status.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																													
"DSCS_III-A3_USA_167_DSCS_III-A3_Defense_Satellite_Communications_System"	USA	USA	US_Air_Force	Military	Communications		GEO		60.01	"35771"	"35802"	3.68E-04	0.03	1436.12	"1156"	884	"1240"	2003/3/11	10	Lockheed_Martin_Missiles_and_Space	USA	Cape_Canaveral	Atlas_2A	2003-008A	27691	"Super_High_Frequency_SHF_for_U.S._government_and_military;_sophisticated_survivability_enhancement;_worldwide_longhaul_coverage;_X-band."		JM/12_08	http://1mms.external.lmco.com/newsbureau/pressreleases/03.07.html	http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html	http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm	http://www.fas.org/spp/military/program/com/dscs_3.htm																																																																																																																																																																																																																													
"DSCS_III-B6_USA_170_DSCS_III_B-6_Defense_Satellite_Communications_System"	USA	USA	US_Air_Force	Military	Communications		GEO		-52.51	"35760"	"35814"	6.40E-04	0.05	1436.1	"1156"	884	"1240"	2003/8/29	10	Lockheed_Martin_Missiles_and_Space	USA	Cape_Canaveral	Delta_4	2003-040A	27875	"Super_High_Frequency_SHF_for_U.S._government_and_military;_sophisticated_survivability_enhancement;_worldwide_longhaul_coverage;_X-band._"		JM/12_08	http://www.space.com/missionlaunches/launches/atlas_launch_001019.html	http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html	http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm	http://www.fas.org/spp/military/program/com/dscs_3.htm																																																																																																																																																																																																																													
"DSCS_III-F10_USA_135_DSCS_III_B-13_Defense_Satellite_Communications_System"	USA	USA	US_Air_Force	Military	Communications		GEO		-130.05	"35757"	"35817"	7.12E-04	2.54	1436.1	"1156"	884	"1240"	1997/10/24	10	Lockheed_Martin_Missiles_and_Space	USA	Cape_Canaveral	Delta_4	1997-065A	25019	"Super_High_Frequency_SHF_for_U.S._government_and_military;_sophisticated_survivability_enhancement;_worldwide_longhaul_coverage;_X-band."		JM/12_08	www.losangeles.af.mil/smc/mc/mcd.html___www.disa.mil/ca/buyguide/feature/teleport.html	http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html	http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm	http://www.fas.org/spp/military/program/com/dscs_3.htm																																																																																																																																																																																																																													
"DSCS_III-F11_USA_148_DSCS_III_B-8_Defense_Satellite_Communications_System"	USA	USA	US_Air_Force	Military	Communications		GEO		-135.11	"35706"	"35868"	1.92E-03	0.01	1436.13	"1156"	884	"1240"	2000/1/1	10	Lockheed_Martin_Missiles_and_Space	USA	Cape_Canaveral	Atlas_2A	2000-001A	26052	"Super_High_Frequency_SHF_for_U.S._government_and_military;_sophisticated_survivability_enhancement;_worldwide_longhaul_coverage;_X-band."		JM/12_08	www.losangeles.af.mil/smc/mc/mcd.html___www.disa.mil/ca/buyguide/feature/teleport.html	http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html	http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm	http://www.fas.org/spp/military/program/com/dscs_3.htm																																																																																																																																																																																																																													
"DSCS_III-F12_USA_153_DSCS_III_B-11_Defense_Satellite_Communications_System"	USA	USA	US_Air_Force	Military	Communications		GEO		-12.15	"35774"	"35799"	2.97E-04	0.04	1436.12	"1156"	884	"1240"	2000/10/20	10	Lockheed_Martin_Missiles_and_Space	USA	Cape_Canaveral	Atlas_2A	2000-065A	26575	"Super_High_Frequency_SHF_for_U.S._government_and_military;_sophisticated_survivability_enhancement;_worldwide_longhaul_coverage;_X-band."		JM/12_08	www.losangeles.af.mil/smc/mc/mcd.html___www.disa.mil/ca/buyguide/feature/teleport.html	http://www.af.mil.news/factsheets/Defense_Satellite_Communicati/html	http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm	http://www.fas.org/spp/military/program/com/dscs_3.htm																																																																																																																																																																																																																													
"DSCS_III-F9_USA_113_DSCS_III_B-7_Defense_Satellite_Communications_System"	USA	USA	US_Air_Force	Military	Communications		GEO		-52.4	"35784"	"35784"	0.00E+00	0	1436.1	"1156"	884	"1240"	1995/7/31	10	Lockheed_Martin_Missiles_and_Space	USA	Cape_Canaveral	Atlas_2A	1995-038A	23628	"Super_High_Frequency_SHF_for_U.S._government_and_military;_sophisticated_survivability_enhancement;_worldwide_longhaul_coverage;_X-band."		GS		http://www.space-technology.com/projects/sicral/	http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm	http://www.fas.org/spp/military/program/com/dscs_3.htm																																																																																																																																																																																																																													
DSP_18_USA_130_Defense_Support_Program	USA	USA	Air_Force	Military	Earth_Observation	Infrared_Imaging	GEO		0	"35780"	"35800"	2.37E-04	0.1	1436.27	"2380"		"1485"	1997/2/23	5	TRW_and_Aerojet_Electronics_Systems	USA	Cape_Canaveral	Titan_IVB	1997-008A	24737	Infrared_sensors_to_detect_heat_from_missile_and_booster_plumes_against_earth's_background;_detection_capability_of_smaller_missiles;_improved_warning_of_attack_by_short-range_missiles_against_U.S._and_allied_forces.		JMSatcat304			http://www.af.mil/news/factsheets/Defense_Support_Program_Satel.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																													
DSP_20_USA_149_Defense_Support_Program	USA	USA	Air_Force	Military	Earth_Observation	Infrared_Imaging	GEO		-36.25	"35897"	"35909"	1.42E-04	4.08	142.08	"2380"		"1485"	2000/5/18	9	TRW_and_Aerojet_Electronics_Systems	USA	Cape_Canaveral	Titan_IVB	2000-024A	26356	Infrared_sensors_to_detect_heat_from_missile_and_booster_plumes_against_earth's_background;_detection_capability_of_smaller_missiles;_improved_warning_of_attack_by_short-range_missiles_against_U.S._and_allied_forces.		JM/12_08			http://www.af.mil/news/factsheets/Defense_Support_Program_Satel.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																													
DSP_21_USA_159_Defense_Support_Program	USA	USA	Air_Force	Military	Earth_Observation	Infrared_Imaging	GEO		69.48	"35765"	"35810"	5.34E-04	3.68	1436.14	"2380"		"1485"	2001/8/6	9	TRW_and_Aerojet_Electronics_Systems	USA	Cape_Canaveral	Titan_4B	2001-033A	26880	Infrared_sensors_to_detect_heat_from_missile_and_booster_plumes_against_earth's_background;_detection_capability_of_smaller_missiles;_improved_warning_of_attack_by_short-range_missiles_against_U.S._and_allied_forces.		JM/12_08	http://www.spaceline.org/news/titan/dsp-21/dsp-21.html	http://www.spaceandtech.com/spacedata/logs/2001/2001-033a_dsp-21_sum.shtml	http://www.af.mil/news/factsheets/Defense_Support_Program_Satel.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																													
DSP_22_USA_176_Defense_Support_Program	USA	USA	Air_Force	Military	Earth_Observation	Infrared_Imaging	GEO		103.84	"35741"	"35832"	1.08E-03	1.41	1436.12	"2380"		"1485"	2004/2/14	9	Northrup_Grumman_formerly_TRW	USA	Cape_Canaveral	Titan_4B	2004-004A	28158	Infrared_sensors_to_detect_heat_from_missile_and_booster_plumes_against_earth's_background;_detection_capability_of_smaller_missiles;_improved_warning_of_attack_by_short-range_missiles_against_U.S._and_allied_forces.		JM/12_08			http://nssdc.gsfc.nasa.gov/spacewarn/spx604.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																													
DubaiSat-1	United_Arab_Emirates	United_Arab_Emirates	Emirates_Institution_for_Advanced_Science_&_Technology_EIAST	Government	Earth_Observation	Optical_Imaging	LEO	Sun-Synchronous	0	662	680	1.28E-03	98	98.2	200		360	2009/7/29	5	Satrec_Initiative	South_Korea	Baikonur_Cosmodrome	Dnepr	2009-041B	35682	"Optical_imaging_camera;_will_be_used_for_urban_development_scientific_research_telecommunications_transportation_construction_and_mapping_water_quality_and_engineering_tests."		www.satellitedebris.net_12/12	http://gulfnews.ae/business/Technology/10329297.html	http://directory.eoportal.org/presentations/10001145/10001146.html																																																																																																																																																																																																																															
DubaiSat-2	United_Arab_Emirates	United_Arab_Emirates	Emirates_Institution_for_Advanced_Science_&_Technology_EIAST	Government	Earth_Observation	Optical_Imaging	LEO	Sun-Synchronous	0	585	603	1.29E-03	97.8	96.56	300		360	2013/11/21	5	Satrec_Initiative	South_Korea	Dombarovsky_Air_Base	Dnepr	2013-066D	39419	Second_in_series.		SC_-_ASCR	http://www.eiast.ae/default.aspx?options={a93e7034-0baa-4e2b-be21-721a4b6feb8e}&view=Article&layout=Article&itemId=160&id=257	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																															
Duchifat-1	NR_8/15	Israel	Herzliya_Science_Centre_HSC	Civil	Communications		LEO	Sun-Synchronous	0	601	623	1.58E-03	97.97	96.93	1			2014/6/19		Herzliya_Science_Centre_HSC	Israel	Dombarovsky_Air_Base	Dnepr	2014-033M	40021				http://www.pe0sat.vgnet.nl/satellite/cube-nano-picosats/duchifat-1/	http://spaceflightnow.com/news/n1406/19dnepr/#.VeC_2pdrzhU																																																																																																																																																																																																																															
DX-1_Dauria_Experimental_1	Russia	Russia	Dauria_Aerospace	Commercial	Communications	Automatic_Identification_System_AIS	LEO	Sun-Synchronous	0	626	636	7.14E-04	98.4	97.33	27			2014/7/8		Dauria_Aerospace	Russia	Baikonur_Cosmodrome	Soyuz-2.1b	2014-037C	40071	"First_privately-funded_Russian_satellite_constructed_by_Dauria_Aerospace_carrying_an_AIS_Automatic_Identification_System_receiver_to_monitor_ships_at_sea."		ZARYA	http://spacenews.com/article/features/39609spotlight-dauria-aerospace	http://dauriaspace.com/News	http://space50.kosmo.cz/objekt.php?mot=2014-037c&jazyk=pp_cz																																																																																																																																																																																																																														
Eagle_2_$50Sat	NR	USA	Morehead_State_University	Civil	Technology_Development		LEO	Sun-Synchronous	0	596	639	3.08E-03	97.8	97	2			2013/11/21		Morehead_State_University	USA	Dombarovsky_Air_Base	Dnepr	2013-066W	39436	Measuring_the_satellite's_thermal_environment.		ZARYA	http://www.nasaspaceflight.com/2013/11/russian-dnepr-record-breaking-32-satellite-haul/																																																																																																																																																																																																																																
Echostar_1_	USA	Mexico	"QuetzSat_S._de_R.L._de_C.V._leased_from_Echostar_Technologies_LLC"	Commercial	Communications		GEO		77.15	"35776"	"35795"	2.25E-04	0.01	1436.07	"3287"	"2000"	"7000"	1995/12/28	12	Lockheed_Martin_Astro_Space	USA	Xichang_Satellite_Launch_Center	Long_March_2E	1995-073A	23754	Operating_as_Mexican_satellite_until_replaced_by_Quetzsat;_Echostar_will_have_capacity_on_that_satellite.		JM/12_08	http://www.dishnetwork.com/content/aboutus/satellites/echo1/index.shtml	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	licensing.fcc.gov/myibfs/download.do?attachment_key=784705																																																																																																																																																																																																																														
Echostar_10	USA	USA	"Echostar_Technologies_LLC"	Commercial	Communications		GEO		-110.07	"35780"	"35792"	1.42E-04	0.06	1436	"4333"		"10000"	2006/2/15	15	Lockheed_Martin_Commercial_Space_Systems	USA	Sea_Launch	Zenit_3SL	2006-003A	28935	"Direct-to-home_transmission_of_voice_video_and_internet."		JM/12_08	http://www.dishnetwork.com/content/aboutus/satellites/echoX/index.shtml	http://www.space.com/missionlaunches/060216_sea_launch.html	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2006/003A.HTM&act=print	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																													
Echostar_11	USA	USA	"Echostar_Technologies_LLC"	Commercial	Communications		GEO		-109.97	"35778"	"35793"	1.78E-04	0.03	1436.1	"5500"		"20000"	2008/7/16	15	Space_Systems/Loral	USA	Sea_Launch	Zenit_3SL	2008-035A	33207	Direct-to-home_television.		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/spx657.html	http://www.space-travel.com/reports/Sea_Launch_Delivers_Echostar_11_To_Orbit_999.html																																																																																																																																																																																																																															
Echostar_12_Rainbow-1_	USA	USA	"Echostar_Technologies_LLC"	Commercial	Communications		GEO		-61.63	"35782"	"35791"	1.07E-04	0.06	1436.11	"4328"			2003/7/17	18	Lockheed_Martin_Commercial_Space_Systems	USA	Cape_Canaveral	Atlas_5	2003-033A	27852	Direct-to-home_television_services;_cable's_attempt_to_compete_with_dish_networks.		JM/12_08		http://nssdc.gsfc.nasa.gov/spacewarn/spx597.html	http://www.cablevision.com/index.jhtml?id=2003_07_17	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																													
Echostar_14	USA	USA	"Echostar_Technologies_LLC"	Commercial	Communications		GEO		-119	"35785"	"35789"	4.74E-05	0.05	1436.11	"6384"	"3223"	"20000"	2010/3/20	15	Space_Systems/Loral	USA	Baikonur_Cosmodrome	Proton_M	2010-010A	36499	Direct-to-home_over_CONUS.		SC_-_ASCR	http://www.lib.cas.cz/space.40/2010/I010A.HTM	http://nssdc.gsfc.nasa.gov/spacewarn/spx677.html																																																																																																																																																																																																																															
Echostar_15	USA	USA	"Echostar_Technologies_LLC"	Commercial	Communications		GEO		-61.5	"35789"	"35803"	1.66E-04	0.07	1436.57	"5521"		"20000"	2010/7/10	15	Space_Systems/Loral	USA	Baikonur_Cosmodrome	Proton_M	2010-034A	36792	Direct-to-home_over_CONUS.		SC_-_ASCR	http://www.lib.cas.cz/space.40/2010/034A.HTM	http://nssdc.gsfc.nasa.gov/spacewarn/spx681.html																																																																																																																																																																																																																															
Echostar_16	USA	USA	"Echostar_Technologies_LLC"	Commercial	Communications		GEO		-61.5	"35776"	"35796"	2.37E-04	0.05	1436.06	"6658"	"3228"		2012/11/20	15	Space_Systems/Loral	USA	Baikonur_Cosmodrome	Proton_M	2012-065A	39008	Direct-to-home_over_CONUS.		SC_-_ASCR	http://spaceflightnow.proton/echostar16/121120launch/#.UOXlbnfjtK1	http://space50.kosmo.cz/s40/2012/I065A.HTM																																																																																																																																																																																																																															
Echostar_17	USA	USA	"Echostar_Technologies_LLC"	Commercial	Communications		GEO		-107.1	"35781"	"35794"	1.54E-04	0.01	1436.13	"6100"		"16100"	2012/7/5	15	Space_Systems/Loral	USA	Guiana_Space_Center	Ariane_5_ECA	2012-035A	38551	All_ka-band_communications.		ZARYA	http://www.spacenews.com/launch/120706-echostar17-healthy.html	http://www.zarya.info/Diaries/Launches/Launches.php?year=2012																																																																																																																																																																																																																															
Echostar_3_	USA	USA	"Echostar_Technologies_LLC"	Commercial	Communications		GEO		-61.46	"35783"	"35790"	8.30E-05	0.02	1436.11	"3674"	"1700"	"10000"	1997/10/5	12	Lockheed_Martin_Missiles_and_Space	USA	Cape_Canaveral	Atlas_2AS	1997-059A	25004	Central/Mountain_region_to_Eastern_U.S.;_32_Ku-band_transponders		JM/12_08	http://www.dishnetwork.com/content/aboutus/satellites/echo3/index.shtml	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																														
Echostar_7_	USA	USA	"Echostar_Technologies_LLC"	Commercial	Communications		GEO		-118.85	"35782"	"35789"	8.30E-05	0.01	1436.07	"4027"	"2200"	"13000"	2002/2/21	12	Lockheed_Martin_Missiles_and_Space	USA	Cape_Canaveral	Atlas_3B	2002-006A	27378	"CONUS_Hawaii_Alaska_and_Puerto_Rico;_32_Ku-band_transponders"		JM/12_08	http://www.dishnetwork.com/content/aboutus/satellites/echo7/index.shtml	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																														
Echostar_8_	USA	USA	"Echostar_Technologies_LLC"	Commercial	Communications		GEO		-76.97	"35783"	"35789"	7.12E-05	0.01	1436.1	"4660"		"10000"	2002/8/21	12	Space_Systems/Loral	USA	Baikonur_Cosmodrome	Proton	2002-039A	27501	"CONUS_Hawaii_Alaska_and_Puerto_Rico;_32_Ku-band_transponders"		JM/12_08	http://www.dishnetwork.com/content/aboutus/satellites/echo8/index.shtml																																																																																																																																																																																																																																
"Echostar_9/Galaxy_23_G-23_Intelsat_1A-13_Telstar_13"	USA	USA	"Echostar_Technologies_LLC/Intelsat_"	Commercial	Communications		GEO		-121.02	"35775"	"35797"	2.61E-04	0.01	1436.08	"4000"	"2500"		2003/8/8	13	Space_Systems/Loral	USA	Sea_Launch	Zenit_3SL	2003-034A	27854	"24_C-band_2_Ka-band_32_Ku-band;_additional_C-band_payload_owned_and_operated_by_Loral_Skynet."		JM/12_08	http://www.abcnewsabsat.com/home.html	www.spaceflightnow.com/sealaunch/echostar9/status.html	http://www.intelsat.com/news/releases/press/2003-26.asp	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																													
"Echostar_G1_ICO_G1_DBSD_G1"	USA	USA	Dish_Network	Commercial	Communications		GEO		-92.92	"35773"	"35799"	3.08E-04	5.73	1436.1	"6600"		"16000"	2008/4/14	15	Space_Systems/Loral	USA	Cape_Canaveral	Atlas_5	2008-016A	32763	"CONUS_Puerto_Rico_Virgin_Islands._Purchased_by_Dish_Network_in_2011._"		JM/12_08	http://www.ico.com/_about/tech/geo.php	http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html	http://www.lib.cas.cz/space.40/2008/016A.HTM	http://www.spacenews.com/satellite_telecom/120418-boeing-wins-appeal-ico-global-case.html																																																																																																																																																																																																																													
"EKS-1_Integrated_Space_System_Cosmos_2510_Tundra_11L"	NR_12/15	Russia	Ministry_of_Defense	Military	Earth_Observation	Early_Warning	Elliptical	Molniya	0	"1606"	"38662"	6.99E-01	63	715				2015/11/17		RKK_Energia	Russia	Plesetsk_Cosmodrome	Soyuz_2.1	2015-066A	41032	Replaces_the_US-OKO_early_warning_system.		SC_-_ASCR	http://www.jagranjosh.com/current-affairs/kosmos-2510-the-first-satellite-of-eks-tundra-system-launched-by-russia-1447843740-1	https://www.veooz.com/news/sJ~hBLF.html	http://prehled-druzic.blogspot.cz/2015/11/2015-066.html#2015066A																																																																																																																																																																																																																														
Electro-L1_GOMS_2_[Geostationary_Operational_Meteorological_Satellite_2]	Russia	Russia	____Roshydromet_-_Planeta	Government	Earth_Observation	Optical_Imaging	GEO		76	"35323"	"35750"	5.09E-03	0.46	1423.35	"1766"			2011/1/20	10	Lavochkin	Russia	Baikonur_Cosmodrome	Zenit	2011-001A	37344	"Satellite's_position_in_GEO_will_yield_real-time_views_of_entire_Earth_disk_--_wide_swath_of_Asia_Middle_East_and_Indian_Ocean._Will_also_provide_communciations_for_search-and-rescue_services."		SC_-_ASCR	http://nssdc.gsfc.nasa.gov/spacewarn/spx687.html	http://www.lib.cas.cz/space.40/2011/001A.HTM	http://www.lib.cas.cz/space.40/2011/001A.HTM																																																																																																																																																																																																																														
Electro-L2_	NR_1/16	Russia	_Roshydromet_-_Planeta	Government	Earth_Observation	Optical_Imaging	GEO		77.8	"35694"	"35815"	1.44E-03	0.45	1434.47	"1800"			2015/12/11	10	Lavochkin	Russia	Baikonur_Cosmodrome	Zenit	2015-074A	41105			prehled-druzic	http://spaceflightnow.com/2015/12/11/russian-weather-satellite-lifts-off-aboard-zenit-rocket/	http://prehled-druzic.blogspot.com/2015/12/2015-074.html																																																																																																																																																																																																																															
ELISA-E12_ELectronic_Intelligence_by_SAtellite	France	France	DGA_Arms_Procurement_Agency/Centre_National_d'Etudes_Spatiales_CNES	Military	Earth_Observation	Electronic_Intelligence	LEO	Sun-Synchronous	0	675	692	1.21E-03	98.21	98.43	120			2011/12/17		Astrium/Thales_Alenia_Space	France	Guiana_Space_Center	Soyuz_2/Fregat	2011-076D	38010	In-orbit_elint_demonstration_project._Will_identify_ground-based_radars_and_other_telecommunications_sources;_to_be_replaced_by_operational_ELINT_system_by_end_of_decade.		Astronomy_News	http://www.spacenews.com/military/111216--french-elint-end-decade-start.html	http://astronomy.activeboard.com/t13482134/elisa-satellites/																																																																																																																																																																																																																															
ELISA-E24_ELectronic_Intelligence_by_SAtellite	France	France	DGA_Arms_Procurement_Agency/Centre_National_d'Etudes_Spatiales_CNES	Military	Earth_Observation	Electronic_Intelligence	LEO	Sun-Synchronous	0	675	692	1.21E-03	98.21	98.43	120			2011/12/17		Astrium/Thales_Alenia_Space	France	Guiana_Space_Center	Soyuz_2/Fregat	2011-076B	38008	In-orbit_elint_demonstration_project._Will_identify_ground-based_radars_and_other_telecommunications_sources;_to_be_replaced_by_operational_ELINT_system_by_end_of_decade.		Astronomy_News	http://www.spacenews.com/military/111216--french-elint-end-decade-start.html	http://astronomy.activeboard.com/t13482134/elisa-satellites/																																																																																																																																																																																																																															
ELISA-W11_ELectronic_Intelligence_by_SAtellite	France	France	DGA_Arms_Procurement_Agency/Centre_National_d'Etudes_Spatiales_CNES	Military	Earth_Observation	Electronic_Intelligence	LEO	Sun-Synchronous	0	677	692	1.06E-03	98.21	98.45	120			2011/12/17		Astrium/Thales_Alenia_Space	France	Guiana_Space_Center	Soyuz_2/Fregat	2011-076A	38007	In-orbit_elint_demonstration_project._Will_identify_ground-based_radars_and_other_telecommunications_sources;_to_be_replaced_by_operational_ELINT_system_by_end_of_decade.		Astronomy_News	http://www.spacenews.com/military/111216--french-elint-end-decade-start.html	http://astronomy.activeboard.com/t13482134/elisa-satellites/																																																																																																																																																																																																																															
ELISA-W23_ELectronic_Intelligence_by_SAtellite	France	France	DGA_Arms_Procurement_Agency/Centre_National_d'Etudes_Spatiales_CNES	Military	Earth_Observation	Electronic_Intelligence	LEO	Sun-Synchronous	0	677	692	1.06E-03	98.21	98.46	120			2011/12/17		Astrium/Thales_Alenia_Space	France	Guiana_Space_Center	Soyuz_2/Fregat	2011-076C	38009	In-orbit_elint_demonstration_project._Will_identify_ground-based_radars_and_other_telecommunications_sources;_to_be_replaced_by_operational_ELINT_system_by_end_of_decade.		Astronomy_News	http://www.spacenews.com/military/111216--french-elint-end-decade-start.html	http://astronomy.activeboard.com/t13482134/elisa-satellites/																																																																																																																																																																																																																															
EO-1_Earth_Observing_1	USA	USA	NASA_Earth_Science_Office	Government	Earth_Observation/Research	Optical_Imaging	LEO	Sun-Synchronous	0	678	690	8.51E-04	98.1	98.4	572		600	2000/11/21	5	Swales_Aerospace	USA	Vandenberg_AFB	Delta_2	2000-075A	26619	One-year_technology_validation/demonstration_mission;_image_Earth's_surface_in_numerous_wavelength_bands.		www.satellitedebris.net_12/12	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://earthobservatory.nasa.gov/Library/EO1/eo1.html	http://eo1.usgs.gov/	http://directory.eoportal.org/pres_EO1EarthObserving1.html																																																																																																																																																																																																																													
EOS-AM_Terra_	USA	USA/Canada/Japan	Earth_Sciences_Enterprise_NASA	Government	Earth_Observation	Earth_Science	LEO	Sun-Synchronous	0	702	703	7.07E-05	98.2	98.8	"4854"		"2530"	1999/12/18	6	Lockheed_Martin	USA	Vandenberg_AFB	Atlas_2AS	1999-068A	25994			www.satellitedebris.net_12/12	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx554.html	http://terra.nasa.gov/																																																																																																																																																																																																																														
EOS-CHEM_Aura_	USA	USA	Goddard_Space_Flight_Center/EOS_Data_and_Operations_System	Government	Earth_Observation	Earth_Science	LEO	Sun-Synchronous	0	702	703	7.07E-05	98.2	98.8	"2967"		"4600"	2004/7/15	5	TRW	USA	Vandenberg_AFB	Delta_2	2004-026A	28376	"Study_Earth's_ozone_air_quality_and_climate;_extension_of_UARS_and_TOMS_missions."		www.satellitedebris.net_12/12	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://www.technewsworld.com/story/35136.html	http://aura.gsfc.nasa.gov/	http://www.lib.cas.cz/knav/space.40/2004/026A.HTM																																																																																																																																																																																																																													
