"Name_of_Satellite,_Alternate_Names"	Country/Org_of_UN_Registry	Country_of_Operator_Owner	Operator_Owner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Type_of_Orbit	Longitude_of_GEO_(degrees)	Perigee_(km)	Apogee_(km)	Eccentricity	Inclination_(degrees)	Period_(minutes)	Launch_Mass_(kg.)	Dry_Mass_(kg.)	Power_(watts)	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	COSPAR_Number	NORAD_Number	Comments		Source_Used_for_Orbital_Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																											
"BRITE-PL-2_(BRIght-star_Target_Explorer_-_Poland,_Hevelius)"	NR_(1/15)	Multinational	BRITE_Consortium	Government	Space_Science		LEO	Sun-Synchronous	0	610	633	1.64E-03	98.02	97.1	10			2014/8/19	2_yrs.	"Space_Research_Center,_Polish_Academy_of_Sciences"	Poland	Taiyuan_Launch_Center	CZ-4B	2014-049B	40119	Second_Polish_contribute_to_the_BRITE_mission.		ZARYA	http://www.nasaspaceflight.com/2014/08/chinese-long-march-4b-gaofen-2-brite-pl-2/	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014																																																																																																																																																																																																																															
BSAT-3A	Japan	Japan	Broadcasting_Satellite_System_Corp.	Commercial	Communications		GEO		109.91	"35,778"	"35,794"	1.90E-04	0.03	1436.1	"1,980"			2007/8/14	13_yrs.	Lockheed_Martin_Commercial_Space_Systems	USA	Guiana_Space_Center	Ariane_5_ECA	2007-036B	32019	Twelve_130W_Ku-band_transponders;_HD_TV.		JM/12_08		http://www.spacemart.com/reports/Lockheed_Martin_Built_BSAT_3a_Satellite_Ready_For_Launch_999.html	http://www.comspacewatch.com/news/viewpr.html?pid=23268	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																													
BSAT-3B	Japan	Japan	Broadcasting_Satellite_System_Corp.	Commercial	Communications		GEO		110	"33,066"	"35,725"	3.26E-02	0.07	1365.61	"2,060"	975		2010/10/28	15_yrs.	Lockheed_Martin_Commercial_Space_Systems	USA	Guiana_Space_Center	Ariane_5_ECA	2010-056B	37207	Broadcast_130W_Ku-band_transponders.		SC_-_ASCR	http://www.lib.cas.cz/space.40/2010/056B.HTM	http://spacefellowship.com/news/art23646/all-systems-are-nominal-aboard-bsat-3b-satellite.html		http://forum.nasaspaceflight.com/index.php?topic=12709.0																																																																																																																																																																																																																													
BSAT-3C/JCSat_110-R	Japan	Japan	Broadcasting_Satellite_System_Corp./Sky_Perfect_JSAT_Corporation	Commercial	Communications		GEO		110	"35,784"	"35,787"	3.56E-05	0.05	1436.04	"2,910"			2011/8/6	15_yrs.	Lockheed_Martin_Commercial_Space_Systems	USA	Guiana_Space_Center	Ariane_5_ECA	2011-041B	37776	Co-owned_by_two_companies.		SC_-_ASCR	http://www.lockheedmartin.com/news/press_releases/2011/0806_ss_BSAT-3c.html	http://www.lib.cas.cz/space.40/2011/041B.HTM																																																																																																																																																																																																																															
Bugsat-1_(Tita)	NR_(12/1/14)	Argentina	Satellogic_S.A.	Commercial	Technology_Development		LEO	Sun-Synchronous	0	570	617	3.37E-03	97.99	96.55	25			2014/6/19		Satellogic_S.A.	Argentina	Dombarovsky_Air_Base	Dnepr	2014-033E	40014	Technological_demonstration_of_a_platform_of_small_satellite_for_Earth_observation_that_the_company_plans_to_put_into_orbit_to_provide_a_commercial_service_at_a_global_level._		ZARYA	http://www.machtres.com/lang1/bugsat1.html		http://www.dk3wn.info/sat/afu/sat_bugsat.shtml																																																																																																																																																																																																																														
Calipso_(Cloud-Aerosol_Lidar_and_Infrared_Pathfinder_Satellite_Observation)	France	France/USA	Centre_National_d'Etudes_Spatiales_(CNES)/NASA	Government	Earth_Science		LEO	Sun-Synchronous	0	702	703	7.07E-05	98.2	98.8	587		550	2006/4/28	3_yrs.	Alcatel_Alenia_Space	France	Vandenberg_AFB	Delta_2	2006-016B	29108			www.satellitedebris.net_12/12	http://www.nasa.gov/pdf/147741main_cloudsat-calipso4.pdf	http://www.skycontrol.net/aerospace/successful-launch-of-the-climatology-calipso-satellite-integrated-by-alcatel-alenia-space/																																																																																																																																																																																																																															
Canopus-B?(Kanopus_Vulcan_1)?	Russia	Russia	Scientific_Production_Corporation_(joint_stock_creation_of_Russian_Space_Agency)	Government	Earth_Observation	Optical_Imaging	LEO	Sun-Synchronous	0	501	505	2.91E-04	97.5	94.7	400	110	300	2012/7/22	5_yrs.	All-Russia_Research_Institute_of_Electromechanics_(NPP_VNIIEM)	Russia	Baikonur_Cosmodrome	Soyuz-Fregat	2012-039A	38707	Will_provide_users_with_operational_hydro-meteorological_information.		www.satellitedebris.net_12/12	http://en.is-service.su/news/childs/page/1/spacecraft-canopus-b-ica-fci-zond-pp-bca-tet-1-ads	http://www.spacedaily.com/reports/Russia_Launches_Soyuz_FG_Rocket_with_Five_Satellites_999.html	http://www.tsenki.com/en/launch_services/help_information/launch/2012/?EID=93961	http://www.zarya.info/Diaries/Launches/Launches.php?year=2012																																																																																																																																																																																																																													
Can-X2_(Canadian_Advanced_Nanospace_experiment)	Canada	Canada	University_of_Toronto_Institute_for_Aerospace_Studies	Civil	Technology_Development		LEO	Sun-Synchronous	0	609	629	1.43E-03	97.8	97.1	7			2008/4/28		University_of_Toronto_Institute_for_Aerospace_Studies	Canada	Satish_Dhawan_Space_Center	PSLV_C9	2008-021H	32790	Will_downlink_telemetry.		www.satellitedebris.net_12/12	http://www.lib.cas.cz/space.40/2008/I021A.HTM	http://www.isro.org/pressrelease/April28_2008.htm	http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html																																																																																																																																																																																																																														
"Can-X3a??(BRIght-star_Target_Explorer_(BRITE),_UniBRITE-1)"	Austria	Canada/Austria	University_of_Toronto_Institute_for_Aerospace_Studies/University_of_Vienna	Civil	Space_Science		LEO	Sun-Synchronous	0	771	783	8.40E-04	98.6	100.3	5			2013/2/25		University_of_Toronto_Institute_for_Aerospace_Studies	Canada	Satish_Dhawan_Space_Centre	PSLV	2013-009G	39092	Mission_planned_to_make_photometric_observations_of_some_of_the_brightest_starts_in_the_sky_in_order_to_examine_these_stars_for_variability._Works_with_TUGSat-1_from_Austria.		SC_-_ASCR	http://www.utias-sfl.net/nanosatellites/CanX3/	http://space50.kosmo.cz/s40/2013/I009G.HTM																																																																																																																																																																																																																															
Can-X4	NR_(12/14)	Canada	University_of_Toronto_Institute_for_Aerospace_Studies	Civil	Technology_Development		LEO	Sun-Synchronous	0	642	659	1.21E-03	97.74	98.26	15			2014/6/30		University_of_Toronto_Institute_for_Aerospace_Studies	Canada	Satish_Dhawan_Space_Center	PSLV-CA	2014-034C	40055	Demonstrate_formation_flying_by_a_pair_of_nanosatellites		ZARYA	http://www.squamishchief.com/indian-rocket-successfully-launches-2-small-canadian-satellites-1.1186753																																																																																																																																																																																																																																
Can-X5	NR_(12/14)	Canada	University_of_Toronto_Institute_for_Aerospace_Studies	Civil	Technology_Development		LEO	Sun-Synchronous	0	643	656	9.26E-04	98.26	97.72	15			2014/6/30		University_of_Toronto_Institute_for_Aerospace_Studies	Canada	Satish_Dhawan_Space_Center	PSLV-CA	2014-034D	40056	Demonstrate_formation_flying_by_a_pair_of_nanosatellites		ZARYA	http://www.squamishchief.com/indian-rocket-successfully-launches-2-small-canadian-satellites-1.1186753																																																																																																																																																																																																																																
CartoSat_1_(IRS_P5)	India	India	Indian_Space_Research_Organization_(ISRO)	Government	Earth_Observation	Optical_Imaging	LEO	Sun-Synchronous	0	618	619	7.15E-05	97.9	97.1	"1,560"	"1,450"	"1,100"	2005/5/5	6_yrs.	Indian_Space_Research_Organization_(ISRO)	India	Satish_Dhawan_Space_Centre	PSLV_C6	2005-017A	28649	"Remote_sensing_and_mapping,_land_use,_forest_cover,_river_flow_assessments."		www.satellitedebris.net_12/12	http://www.isro.org/pressrelease/May01_2005.htm	http://www.lib.cas.cz/www/space.40/2005/017A.HTM	http://www.gisdevelopment.net/technology/rs/techrs023a.htm																																																																																																																																																																																																																														
"CartoSat_2_(IRS_P7,_CartoSat_2AT)"	India	India	Indian_Space_Research_Organization_(ISRO)	Government	Earth_Observation	Optical_Imaging	LEO	Sun-Synchronous	0	632	635	2.14E-04	97	97.4	680			2007/1/10		Indian_Space_Research_Organization_(ISRO)	India	Satish_Dhawan_Space_Centre	PSLV_C7	2007-001B	29710	"Remote_sensing_and_mapping;_panchromatic_images_at_one-meter_resolution_to_be_used_for_civil_planning_""and_other_cartographic_needs."""		www.satellitedebris.net_12/12	http://nssdc.gsfc.nasa.gov/spacewarn/spx639.html	http://www.lib.cas.cz/knav/space.40/2007/I001D.HTM																																																																																																																																																																																																																															
CartoSat_2A	India	India	Indian_Space_Research_Organization_(ISRO)	Military	Earth_Observation	Optical_Imaging	LEO	Sun-Synchronous	0	624	643	1.36E-03	97.9	97.4	680			2008/4/28		Indian_Space_Research_Organization_(ISRO)	India	Satish_Dhawan_Space_Center	PSLV_C9	2008-021A	32783	Militaryversion_of_CartoSat_2;_dedicated_satellite_for_the_Indian_armed_forces.		www.satellitedebris.net_12/12	http://www.lib.cas.cz/space.40/2008/I021A.HTM	http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html																																																																																																																																																																																																																															
CartoSat_2B	India	India	Indian_Space_Research_Organization_(ISRO)	Government	Earth_Observation	Optical_Imaging	LEO	Sun-Synchronous	0	622	645	1.64E-03	97.9	97.4	694			2010/7/12		Indian_Space_Research_Organization_(ISRO)	India	Satish_Dhawan_Space_Center	PSLV	2010-035A	36795	"Resource_mapping,_urban_planning,_transportation_studies,_water_monitoring,_and_crop_inventories."		www.satellitedebris.net_12/12	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/035A.HTM																																																																																																																																																																																																																																
Cassiope_(CAScade_SmallSat_and_Ionospheric_Polar_Explorer)	NR	Canada	Canadian_Space_Agency	Government	Earth_Science		LEO	Elliptical	0	325	"1,486"	7.98E-02	81	103.11	490		600	2013/9/29	2_yrs.	Canadian_Space_Agency	Canada	Vandenberg_AFB	Falcon_9	2013-055A	39265	"Study_the_effect_of_solar_storms_on_radio_communications,_satellite_navigation_and_other_ground-based_technologies."		ZARYA	http://www.thestar.com/news/canada/2013/09/29/cassiope_canadian_satellite_blasts_off_on_mission_to_study_space_weather.html	http://www.wmo-sat.info/oscar/satellites/view/470	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																														
CBERS_4_(China-Brazil_Earth_Resources_Satellite_4)	NR_(1/15)	China/Brazil	China_National_Space_Administration_(China)/National_Institute_for_Space_Research_(Brazil)	Government	Earth_Observation	Optical_Imaging	LEO	Sun-Synchronous	0	738	748	7.03E-04	98.55	99.67	"1,980"		"2,300"	2014/12/7	3_yrs.	China_Academy_of_Space_Technology_(CAST)	China	Taiyuan_Launch_Center	Long_March_4B	2014-079A	40336	Carrying_a_range_of_Earth_observation_sensors.		ZARYA	https://directory.eoportal.org/web/eoportal/satellite-missions/c-missions/cbers-3-4	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014																																																																																																																																																																																																																															
CBNT-1_(Carbonite_1)	NR	United_Kingdom	Surrey_Satellite_Technology_Ltd.	Commercial	Technology_Development		LEO	Sun-Synchronous	0	636	658	1.57E-03	98	97.66	91			2015/7/10		Surrey_Satellite_Technologies_Ltd.	United_Kingdom	Satish_Dhawan_Space_Centre	PSLV	2015-032D	40718	Demonstrate_earth_observation_techniques.		JM/8_15	http://www.nasaspaceflight.com/2015/07/indian-pslv-launch-five-british-satellites/																																																																																																																																																																																																																																
CFESat_(Cibola_Flight_Experiment_Satellite)	USA	USA	Los_Alamos_National_Labs_(LANL)	Government	Technology_Development		LEO	Non-Polar_Inclined	0	538	544	4.34E-04	35.4	95.5	159		110	2007/3/9		Surrey_Satellite_Technologies_Ltd.	United_Kingdom	Cape_Canaveral	Atlas_5	2007-006F	30777	"A_number_of_experiments,_including_a_prototype_supercomputer_designed_to_process_data_onboard_rather_than_sending_raw_information_directly_to_Earth."		www.satellitedebris.net_12/12	http://www.spacenewsfeed.co.uk/2007/11March2007_63.html	http://www.lanl.gov/news/index.php/fuseaction/home.story/story_id/8916		http://www.lib.cas.cz/www/space.40/2007/006F.HTM																																																																																																																																																																																																																													
Chandra_X-Ray_Observatory_(CXO)	USA	USA	NASA_Goddard_Space_Flight_Center	Government	Space_Science		Elliptical	Deep_Highly_Eccentric	0	"9,999"	"138,825"	7.97E-01	28.5	3808.92	"4,742"		"2,500"	1999/7/23	5_yrs.	TRW_Space_and_Electronics	USA	Cape_Canaveral	Space_Shuttle_(STS_93)	1999-040B	25867	X-ray_astronomy.		JMSatcat304	http://nssdc.gsfc.nasa.gov/spacewarn/spx549.html	http://spacelink.nasa/gov/NASA.Projects/Space.Science/Universe/Chandra.X-Ray.Observatory/	http://chandra.harvard.edu/graphics/press/fact7-print.pdf	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																													
ChinaSat_11_(Zhong_Xing_11)	China	China	China_Satellite_Communication_Corp._(China_Satcom)	Commercial	Communications		GEO		98	"35,781"	"35,793"	1.42E-04	0.02	1436.14	"5,100"			2013/5/1	15_yrs.	China_Aerospace_Science_and_Technology_Corp._(CASC)	China	Xichang_Satellite_Launch_Center	Long_March_3B	2013-020A	39157	"19_Ku-band_and_26_C-band_transponders_to_provide_commercial_communications_to_China,_East_Asia,_China_Sea,_South_Asia,_Indian_Ocean,_the_Middle_East,_Africa_and_Australia."		JM/8_15	http://www.spaceflight101.com/chinasat-11-launch-long-march-3be.html	http://sky-brokers.com/uploads/c6/ba/c6baa92bd1bc848b3a050ed0f7b401d7/ChinaSat-11-Satellite-Footprint.pdf																																																																																																																																																																																																																															
ChinaSat_1C_(Zhong_Xing_1C)	NR_(1/16)	China	China_Satellite_Communication_Corp._(China_Satcom)	Commercial	Communications		GEO		81	"35,778"	"35,796"	2.13E-04	0.01	1436.12	"5,200"		"8,000"	2015/12/9	15_yrs.	China_Academy_of_Space_Technology_(CAST)	China	Xichang_Satellite_Launch_Center	Long_March_3B	2015-073A	41103			prehled-druzic	http://spaceflightnow.com/2015/12/09/long-march-lofts-communications-craft-for-chinese-government/	http://prehled-druzic.blogspot.com/2015/12/2015-073.html	http://www.nasaspaceflight.com/2015/12/long-march-3b-chinasat-1c/																																																																																																																																																																																																																														
ChinaSat_2C_(Zhong_Xing_2C)	NR_(12/15)	China	China_Satellite_Communication_Corp._(China_Satcom)	Commercial/Government	Communications		GEO			"35,787"	"35,801"	1.66E-04	0.5	1436.1	"5,200"			2015/11/3	15_yrs.	China_Academy_of_Space_Technology_(CAST)	China	Xichang_Satellite_Launch_Center	Long_March_3B	2015-063A	41021			SC_-_ASCR	http://spaceflightnow.com/2015/11/03/military-communications-craft-likely-aboard-chinese-launch/	http://prehled-druzic.blogspot.cz/2015/11/2015-063.html#2015063A																																																																																																																																																																																																																															
ChinaSat_6B_(Zhong_Xing_6B)	China	China	China_Satellite_Communication_Corp._(China_Satcom)	Commercial/Government	Communications		GEO		115.58	"35,777"	"35,797"	2.37E-04	0.05	1436.1	"4,600"		"9,500"	2007/7/6	15_yrs.	Thales_Alenia_Space	France/Italy	Xichang_Satellite_Launch_Center	Long_March_3B	2007-031A	31800	38_C-band;_voice_and_video_services_to_Asia-Pacific_and_Oceania.		JM/12_08	http://www.space-travel.com/reports/China_Launches_Thales_built_Chinasat_6B_Telecommunication_Satellite_999.html	http://www.lib.cas.cz/space.40/2007/031A.HTM																																																																																																																																																																																																																															
"Chuangxin_1-1_(Innovation_1-1,_Chuang_Xin_1,_CX-1-1)"	China	China	Chinese_Academy_of_Sciences	Government	Communications		LEO	Sun-Synchronous	0	729	748	1.34E-03	98.5	99.6	100			2003/10/21		China_Academy_of_Sciences	China	Taiyuan_Launch_Center	Long_March_3B	2003-049B	28058	Prototype_of_advanced_telecommunications_satellite_for_LEO.		www.satellitedebris.net_12/12	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://english.cas.ac.cn/eng2003/news/detailnewsb.asp?InfoNo=24708	http://nssdc.gsfc.nasa.gov/spacewarn/spx600.html																																																																																																																																																																																																																														
Chuangxin_1-2_(Innovation_1-2)	China	China	Chinese_Academy_of_Sciences	Government	Earth_Observation	Optical_Imaging/Meterology	LEO	Sun-Synchronous	0	785	804	1.33E-03	98.5	98.5	101			2008/11/5		China_Academy_of_Sciences	China	Jiuquan_Satellite_Launch_Center	Long_March_2D	2008-056B	33434	Collect_and_relay_hydrological_and_meteorological_data_and_data_for_disaster_relief.		www.satellitedebris.net_12/12	http://www.lib.cas.cz/space.40/2008/I065B.HTM																																																																																																																																																																																																																																
Chuangxin_1-3_(Innovation_1-3)	China	China	Chinese_Academy_of_Sciences	Government	Earth_Observation	Optical_Imaging/Meterology	LEO	Sun-Synchronous	0	784	804	1.40E-03	98.5	100.7	100			2011/11/20		China_Academy_of_Sciences	China	Jiuquan_Satellite_Launch_Center	Long_March_2D	2011-068A	37930	Collect_and_relay_hydrological_and_meteorological_data_and_data_for_disaster_relief.		www.satellitedebris.net_12/12	http://spaceflightnow.com/news/n1111/19longmarch/	http://www.lib.cas.cz/space.40/2011/068A.HTM																																																																																																																																																																																																																															
Chuangxin_1-4_(Innovation_1-4)	China	China	Chinese_Academy_of_Sciences	Government	Earth_Observation	Optical_Imaging/Meterology	LEO	Sun-Synchronous	0	778	809	2.16E-03	98.46	100.74	100			2014/9/4		China_Academy_of_Sciences	China_	Jiuquan_Satellite_Launch_Center	Long_March_2D	2014-051B	40137	Collect_and_relay_hydrological_and_meteorological_data_and_data_for_disaster_relief.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014	http://www.spaceflight101.com/chinese-long-march-2d-successfully-launches-two-satellites---ling-qiao--cx-1-04.html																																																																																																																																																																																																																															
Chuangxin-3	China	China	Chinese_Academy_of_Sciences	Government	Technology_Development		LEO	Sun-Synchronous	0	665	672	4.97E-04	98.03	96.43	200			2013/7/19		China_Academy_of_Sciences	China	Taiyuan_Launch_Center	Long_March_2C	2013-037B	39209	"Equipped_with_a_system_for_testing_a_manipulator_arm,_maybe_a_proof_of_concept_for_use_on_China's_upcoming_space_station."		WT	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013	http://www.spaceflight101.com/long-march-4c-taiyuan-launch-july-19-2013.html																																																																																																																																																																																																																															
ChubuSat_1_(Kinshachi)	NR_(1/15)	Japan	Nagora_University_and_Daido_University	Civil	Technology_Development		LEO	Sun-Synchronous	0	506	538	2.32E-03	97.48	95.07	50			2014/11/6		Nagoya_University_and_Daido_University	Japan	Dombarovsky_Air_Base	Dnepr	2014-070C	40300	"Technology_demonstration,_Earth_imager,_sensors_to_detect_space_debris_and_an_amateur_radio_communications_system."		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014	https://directory.eoportal.org/web/eoportal/satellite-missions/h/hodoyoshi-1																																																																																																																																																																																																																															
Ciel-2	Canada	Canada	Ciel_Satellite_Group	Commercial	Communications		GEO		-129	"35,782"	"35,788"	7.12E-05	0.05	1436.05	"5,585"			2008/12/10	15_yrs.	Thales_Alenia_Space	France	Baikonur_Cosmodrome	Proton_M	2008-063A	33453	Digital_television;_32_Ku-band_transponders.		JM/12_08	http://www.lib.cas.cz/space.40/2008/I065B.HTM	http://www.cielsatellite.ca/satellites.html																																																																																																																																																																																																																															
"CINEMA-1_(Cubesat_for_Ion,_Neutral,_Electron,_Magnetic_fields)"	USA	USA	University_of_California-Berkeley/Imperial_College-London	Civil	Space_Science		LEO	Non-Polar_Inclined	0	484	791	2.19E-02	64.6	97.4	3			2012/9/13		"Space_Sciences_Laboratory_(SSL)_of_the_University_of_California_Berkeley;__Kyung_Hee_University_(KHU),_Imperial_College_London"	USA	Vandenberg_AFB	Atlas_5	2012-048G	38764	Study_of_space_weather_effects_in_near-Earth_space.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end																																																																																																																																																																																																																																
CLIO_(USA_257)	USA	USA	Unknown_US_agency	Military	Communications		GEO		106	"35,736"	"35,854"	1.40E-03	0.04	1436.5				2014/9/16		Lockheed_Martin	USA	Cape_Canaveral	Atlas_5	2014-055A	40208			JM/12_15	http://www.spaceflight101.com/atlas-v---clio-launch-updates.html	http://www.nasaspaceflight.com/2014/09/ula-atlas-v-secretive-clio-mission/																																																																																																																																																																																																																															
Cloudsat	USA	USA	NASA/Colorado_State_University	Government/Civil	Earth_Observation	Radar_Imaging	LEO	Sun-Synchronous	0	702	703	7.07E-05	98.2	98.8	848		570	2006/4/28	2_yrs.	NASA_Jet_Propulsion_Laboratory	USA	Vandenberg_AFB	Delta_2	2006-016A	29107	"Joins_Aqua,_Parasol,_Aura,_and_Calipso_in_A-Train;_meteorological_satellite,_carries_single_radar_to_obtain_the_reflectivity_of_clouds."		www.satellitedebris.net_12/12	http://cloudsat.atmos.colostate.edu/overview	http://www.nasa.gov/pdf/147741main_cloudsat-calipso4.pdf																																																																																																																																																																																																																															
"COMS-1_(Communication,_Ocean_and_Meteorological_Satellite;_Cheollian)"	South_Korea	South_Korea	Korea_Aerospace_Research_Institute_(KARI)	Government	Earth_Observation/Communications	Optical_Imaging/Meteorology	GEO		128	"35,783"	"35,791"	9.49E-05	0.01	1436.1	"2,460"			2010/6/26		EADS_Astrium/Electronics_and_Telecommunications_Research_Institute_(ETRI)	South_Korea	Guiana_Space_Center	Ariane_5_ECA	2010-032A	36744	"Multi-mission_satellite_with_three_payloads:_one_for_meteorology,_one_for_ocean_observation_and_one_for_communications."		SC_-_ASCR_	http://www.lib.cas.cz/space.40/2010/032A.HTM	http://nssdc.gsfc.nasa.gov/spacewarn/spx680.html																																																																																																																																																																																																																															
COMSATBw-1_(COmmunications_SATellite_f?r_BundesWehr)	Germany	Germany	Armed_Forces	Military	Communications		GEO		63	"35,773"	"35,799"	3.08E-04	0.05	1436.1	"2,440"		"3,500"	2009/10/1	15_yrs.	Thales_Alenia_Space	France/Italy	Guiana_Space_Center	Ariane_5	2009-054B	35943	Germany's_first_Militarycommunications_satellite.		JM/12_09	http://www.spacenews.com/launch/ariane-lofts-comsatbw-1-amazonas-2.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx672.html																																																																																																																																																																																																																															
COMSATBw-2_(COmmunications_SATellite_f?r_BundesWehr)	Germany	Germany	Armed_Forces	Military	Communications		GEO		13.2	"35,780"	"35,794"	1.66E-04	0.08	1436.11	"2,440"		"3,500"	2010/5/21	15_yrs.	Thales_Alenia_Space	France/Italy	Guiana_Space_Center	Ariane_5	2010-021B	36582	"SHF_(Super-High-Frequency),_and_UHF_transponders_(Ultra-High-Frequency)."		SC_-_ASCR	http://www.thalesgroup.com/Press_Releases/Markets/Space/2010/ComSatBw-2_telecom_satellite_built_by_Thales_Alenia_Space_successfully_launched/	http://www.spacenews.com/military/100709-comsatbw2-operational.html	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/021B.HTM&act=print																																																																																																																																																																																																																														
Condor_E2_	NR_(1/15)	South_Africa	Armed_Forces	Military	Earth_Observation	Radar_Imaging	LEO	Polar	0	499	501	1.46E-04	74.75	94.62				2014/12/19		NPO_Mashinostroyeniya	Russia	Baikonur_Cosmodrome	Strela	2014-084A	40353	"Radar_earth_observation_satellite_built_for,_reportedly,_the_Militaryof_South_Africa_under_Project_Flute."		ZARYA	http://nssdc.gsfc.nasa.gov/nmc/spacecraftDisplay.do?id=2014-084A	http://russianforces.org/blog/2014/12/kondor-e_satellite_launched_by.shtml	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014																																																																																																																																																																																																																														
Coriolis_(Windsat)	USA	USA	US_Air_Force/_US_Navy/NASA	Military	Earth/Space_Science		LEO	Sun-Synchronous	0	820	841	1.46E-03	98.8	101.5	817	395	"1,174"	2003/1/6	3_yrs.	"Spectrum_Astro,_Inc."	USA	Vandenberg_AFB	Titan_2	2003-001A	27640	Monitor_ocean_winds_and_image_Solar_Mass_Ejections_(SME).		www.satellitedebris.net_12/12	http://www.spectrumastro.com/SAI_PressReleases/PR_details.cfm?PRID=148	http://nssdc.gsfc.nasa.gov/spacewarn/spx591.html	http://www.space.com/missionlaunches/titan2_launch_030106.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																													
"COSMIC-A_(Formosat-3A,_Constellation_Observing_System_for_Meteorology,_Ionosphere_and_Climate)"	NR	Taiwan/USA	"National_Space_Program_Office_(NSPO)/University_Corporation_for_Atmospheric_Research_(UCAR)_Boulder,_CO"	Government/Civil	Earth_Observation	Meteorology	LEO	Polar	0	764	836	5.02E-03	72	100.9	70		46	2006/4/15	2_yrs.	Orbital_Sciences_Corp.	USA	Vandenberg_AFB	Minotaur	2006-011A	29047	Åg._._._Provide_atmospheric_data_daily_in_real_time_over_thousands_of_points_on_Earth_for_both_research_and_operational_weather_forecasting_by_measuring_the_bending_of_radio_signals_from_the_U.S._Global_Positioning_System_(GPS)_as_the_signals_pass_through_Earth's_atmosphere.Åh		www.satellitedebris.net_12/12	http://www.orbital.com/SatellitesSpace/LEO/FORMOSAT-3/index.html	http://www.ucar.edu/news/releases/2006/cosmic.shtml	http://www.lib.cas.cz/www/space.40/2006/011B.HTM	http://nssdc.gsfc.nasa.gov/spacewarn/spx630.html																																																																																																																																																																																																																													
"COSMIC-B_(Formosat-3B,_Constellation_Observing_System_for_Meteorology,_Ionosphere_and_Climate)"	NR	Taiwan/USA	"National_Space_Program_Office_(NSPO)/University_Corporation_for_Atmospheric_Research_(UCAR)_Boulder,_CO"	Government/Civil	Earth_Observation	Meteorology	LEO	Polar	0	769	831	4.32E-03	72	100.9	70		46	2006/4/15	2_yrs.	Orbital_Sciences_Corp.	USA	Vandenberg_AFB	Minotaur	2006-011B	29048	Åg._._._Provide_atmospheric_data_daily_in_real_time_over_thousands_of_points_on_Earth_for_both_research_and_operational_weather_forecasting_by_measuring_the_bending_of_radio_signals_from_the_U.S._Global_Positioning_System_(GPS)_as_the_signals_pass_through_Earth's_atmosphere.Åh		www.satellitedebris.net_12/12	http://www.orbital.com/SatellitesSpace/LEO/FORMOSAT-3/index.html	http://www.ucar.edu/news/releases/2006/cosmic.shtml	http://www.lib.cas.cz/www/space.40/2006/011B.HTM	http://nssdc.gsfc.nasa.gov/spacewarn/spx630.html																																																																																																																																																																																																																													
"COSMIC-D_(Formosat-3D,_Constellation_Observing_System_for_Meteorology,_Ionosphere_and_Climate)"	NR	Taiwan/USA	"National_Space_Program_Office_(NSPO)/University_Corporation_for_Atmospheric_Research_(UCAR)_Boulder,_CO"	Government/Civil	Earth_Observation	Meteorology	LEO	Polar	0	669	746	5.44E-03	72	98.9	70		46	2006/4/15	2_yrs.	Orbital_Sciences_Corp.	USA	Vandenberg_AFB	Minotaur	2006-011D	29050	Åg._._._Provide_atmospheric_data_daily_in_real_time_over_thousands_of_points_on_Earth_for_both_research_and_operational_weather_forecasting_by_measuring_the_bending_of_radio_signals_from_the_U.S._Global_Positioning_System_(GPS)_as_the_signals_pass_through_Earth's_atmosphere.Åh		www.satellitedebris.net_12/12	http://www.orbital.com/SatellitesSpace/LEO/FORMOSAT-3/index.html	http://www.ucar.edu/news/releases/2006/cosmic.shtml	http://www.lib.cas.cz/www/space.40/2006/011B.HTM	http://nssdc.gsfc.nasa.gov/spacewarn/spx630.html																																																																																																																																																																																																																													
